ETC, USD
2017-02-09-18-00, 1.26
2017-02-08-18-00, 1.44
2017-02-07-18-00, 1.47
2017-02-06-18-00, 1.45
2017-02-05-18-00, 1.36
2017-02-04-18-00, 1.38
2017-02-03-18-00, 1.33
2017-02-02-18-00, 1.36
2017-02-01-18-00, 1.34
2017-01-31-18-00, 1.35
2017-01-30-18-00, 1.34
2017-01-29-18-00, 1.29
2017-01-28-18-00, 1.31
2017-01-27-18-00, 1.28
2017-01-26-18-00, 1.33
2017-01-25-18-00, 1.28
2017-01-24-18-00, 1.37
2017-01-23-18-00, 1.39
2017-01-22-18-00, 1.37
2017-01-21-18-00, 1.43
2017-01-20-18-00, 1.34
2017-01-19-18-00, 1.17
2017-01-18-18-00, 1.2
2017-01-17-18-00, 1.21
2017-01-16-18-00, 1.18
2017-01-15-18-00, 1.19
2017-01-14-18-00, 1.2
2017-01-13-18-00, 1.21
2017-01-12-18-00, 1.23
2017-01-11-18-00, 1.21
2017-01-10-18-00, 1.43
2017-01-09-18-00, 1.4
2017-01-08-18-00, 1.44
2017-01-07-18-00, 1.43
2017-01-06-18-00, 1.47
2017-01-05-18-00, 1.58
2017-01-04-18-00, 1.73
2017-01-03-18-00, 1.49
2017-01-02-18-00, 1.43
2017-01-01-18-00, 1.4
2016-12-31-18-00, 1.42
2016-12-30-18-00, 1.53
2016-12-29-18-00, 1.42
2016-12-28-18-00, 1.12
2016-12-27-18-00, 1.05
2016-12-26-18-00, 1.04
2016-12-25-18-00, 1.08
2016-12-24-18-00, 1.11
2016-12-23-18-00, 1.05
2016-12-22-18-00, 1.11
2016-12-21-18-00, 1.13
2016-12-20-18-00, 1.14
2016-12-19-18-00, 1.19
2016-12-18-18-00, 1.05
2016-12-17-18-00, 0.9936
2016-12-16-18-00, 1.07
2016-12-15-18-00, 1.09
2016-12-14-18-00, 0.9851
2016-12-13-18-00, 0.9845
2016-12-12-18-00, 0.9079
2016-12-11-18-00, 0.9338
2016-12-10-18-00, 0.8497
2016-12-09-18-00, 0.8135
2016-12-08-18-00, 0.8179
2016-12-07-18-00, 0.8251
2016-12-06-18-00, 0.7708
2016-12-05-18-00, 0.8182
2016-12-04-18-00, 0.7563
2016-12-03-18-00, 0.7686
2016-12-02-18-00, 0.7998
2016-12-01-18-00, 0.7642
2016-11-30-18-00, 0.7462
2016-11-29-18-00, 0.7424
2016-11-28-18-00, 0.7532
2016-11-27-18-00, 0.7719
2016-11-26-18-00, 0.7822
2016-11-25-18-00, 0.8301
2016-11-24-18-00, 0.7673
2016-11-23-18-00, 0.8098
2016-11-22-18-00, 0.839
2016-11-21-18-00, 0.8498
2016-11-20-18-00, 0.8544
2016-11-19-18-00, 0.8628
2016-11-18-18-00, 0.8749
2016-11-17-18-00, 0.8893
2016-11-16-18-00, 0.9094
2016-11-15-18-00, 0.9278
2016-11-14-18-00, 0.8931
2016-11-13-18-00, 0.9086
2016-11-12-18-00, 0.9141
2016-11-11-18-00, 0.9165
2016-11-09-18-00, 0.9182
2016-11-08-18-00, 0.9341
2016-11-07-18-00, 0.9316
2016-11-06-18-00, 0.9859
2016-11-05-18-00, 1.05
2016-11-04-18-00, 0.9772
2016-11-03-18-00, 0.8973
2016-11-02-18-00, 0.8659
2016-11-01-18-00, 0.8878
2016-10-31-18-00, 0.8996
2016-10-30-18-00, 0.9274
2016-10-29-18-00, 0.9048
2016-10-28-18-00, 0.9555
2016-10-27-18-00, 0.9891
2016-10-26-18-00, 1.03
2016-10-25-18-00, 1.02
2016-10-24-18-00, 1.03
2016-10-23-18-00, 1.05
2016-10-22-18-00, 1.05
2016-10-21-18-00, 1.03
2016-10-20-18-00, 1.04
2016-10-19-18-00, 1.05
2016-10-18-18-00, 1.05
2016-10-17-18-00, 1.08
2016-10-16-18-00, 1.16
2016-10-15-18-00, 0.9929
2016-10-14-18-00, 0.9896
2016-10-13-18-00, 1.02
2016-10-12-18-00, 1.04
2016-10-11-18-00, 1.1
2016-10-10-18-00, 1.16
2016-10-09-18-00, 1.17
2016-10-08-18-00, 1.19
2016-10-07-18-00, 1.17
2016-10-06-18-00, 1.18
2016-10-05-18-00, 1.19
2016-10-04-18-00, 1.16
2016-10-03-18-00, 1.19
2016-10-02-18-00, 1.2
2016-10-01-18-00, 1.18
2016-09-30-18-00, 1.26
2016-09-29-18-00, 1.28
2016-09-28-18-00, 1.24
2016-09-27-18-00, 1.19
2016-09-26-18-00, 1.2
2016-09-25-18-00, 1.22
2016-09-24-18-00, 1.25
2016-09-23-18-00, 1.23
2016-09-22-18-00, 1.26
2016-09-21-18-00, 1.23
2016-09-20-18-00, 1.25
2016-09-19-18-00, 1.28
2016-09-18-18-00, 1.33
2016-09-17-18-00, 1.32
2016-09-16-18-00, 1.33
2016-09-15-18-00, 1.28
2016-09-14-18-00, 1.32
2016-09-13-18-00, 1.3
2016-09-12-18-00, 1.33
2016-09-11-18-00, 1.34
2016-09-10-18-00, 1.43
2016-09-09-18-00, 1.41
2016-09-08-18-00, 1.47
2016-09-07-18-00, 1.49
2016-09-06-18-00, 1.48
2016-09-05-18-00, 1.47
2016-09-04-18-00, 1.46
2016-09-03-18-00, 1.36
2016-09-02-18-00, 1.4
2016-09-01-18-00, 1.48
2016-08-31-18-00, 1.19
2016-08-30-18-00, 1.25
2016-08-29-18-00, 1.26
2016-08-28-18-00, 1.33
2016-08-27-18-00, 1.37
2016-08-26-18-00, 1.43
2016-08-25-18-00, 1.39
2016-08-24-18-00, 1.46
2016-08-23-18-00, 1.6
2016-08-22-18-00, 1.65
2016-08-21-18-00, 1.72
2016-08-20-18-00, 1.74
2016-08-19-18-00, 1.77
2016-08-18-18-00, 1.69
2016-08-17-18-00, 1.74
2016-08-16-18-00, 1.86
2016-08-15-18-00, 1.84
2016-08-14-18-00, 1.93
2016-08-13-18-00, 1.86
2016-08-12-18-00, 1.82
2016-08-11-18-00, 1.87
2016-08-10-18-00, 1.68
2016-08-09-18-00, 1.95
2016-08-08-18-00, 2.13
2016-08-07-18-00, 2.11
2016-08-06-18-00, 2.65
2016-08-05-18-00, 2.52
2016-08-04-18-00, 2.3
2016-08-03-18-00, 2.66
2016-08-02-18-00, 2.6
2016-08-01-18-00, 2.27
2016-07-31-18-00, 1.8
2016-07-30-18-00, 1.57
2016-07-29-18-00, 1.64
2016-07-28-18-00, 1.69
2016-07-27-18-00, 1.52
